YEAR,KM,ACCIDENT,PANNIER_SIDE,PANNIER_TOP,NAVI,PRICE
2014,44500,0,1,1,1,123000
2014,15900,0,1,1,0,115000
2014,59800,1,0,1,0,92500
2014,49900,0,1,1,0,115000
2014,79000,0,0,1,0,103000
2014,101000,0,0,1,0,107500
2014,39000,0,1,1,1,132000
2014,101000,0,0,1,0,107500
2015,48500,0,0,1,0,116500
2015,43000,0,1,1,1,137500
2015,51500,0,0,1,0,121000
2015,59500,0,1,1,0,98500
2015,39500,0,1,1,0,126100
2015,76000,0,1,1,0,105000
2015,62000,1,0,0,0,92750
2015,68250,1,1,1,0,100000
2015,4000,0,1,1,0,140000
2016,18000,0,0,0,0,129500
2016,49000,0,0,1,0,123500
2016,47758,0,0,0,0,121900
2016,80500,1,0,1,0,107000
2016,8000,0,0,1,0,159000
2016,16000,0,1,1,0,144000
2016,34500,0,1,1,0,139000
2016,36500,0,1,1,0,134500
2016,25000,1,1,1,1,132000
2016,3479,0,1,0,0,148000
2016,25000,0,1,1,0,142000
2016,14167,0,0,1,0,135500
2017,8000,0,0,1,0,159000
2017,31150,0,1,1,0,157000
2017,20000,0,1,1,0,165000
2017,70900,0,0,1,0,125900
2017,40000,0,1,1,0,145000
2017,45623,0,0,1,0,142500
2017,7500,0,0,0,0,145000
2017,42000,0,1,1,0,152000
2017,13000,0,0,1,0,148000
2017,45160,0,1,1,1,142000
2018,16850,0,1,0,0,173000
2018,1115,0,1,1,1,181000
2018,15500,0,0,1,0,159000
2018,18500,0,0,1,0,153000
2018,29890,0,0,1,0,152000
2018,6000,0,0,0,0,184000
2018,14300,0,1,0,0,175000
2018,48000,0,0,0,0,148000
2018,15808,0,0,0,0,159000
2018,18000,0,0,1,0,168000
2018,13500,0,0,1,0,178000
2018,350,0,0,1,0,180000
